"","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District of Columbia","Florida","Georgia","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming","Statewide"
"10/31/2009",5334,1840,9285,3646,59727,7068,2666,786,1825,19433,8000,1440,1430,19563,12326,6819,5694,6781,4873,1663,6931,9562,18223,5284,3388,8342,1700,5394,4805,850,7637,1970,27608,8968,1106,12050,8849,8705,24242,2078,5000,1419,6760,26942,2796,1027,5674,9644,4748,6701,947,419549
"11/30/2009",5316,1835,9140,3667,59199,7015,2724,779,1797,19000,7896,1424,1453,19589,12394,6724,5643,6751,4831,1629,6830,9467,18127,5201,3352,8312,1706,5360,4756,832,7461,1930,27488,8848,1100,11941,8724,8750,24444,2051,4858,1399,6758,26633,2813,1008,5593,9480,4763,6673,956,416420
"12/31/2009",5229,1816,9106,3662,58415,6917,2808,757,1751,18541,7617,1413,1445,19559,12320,6635,5583,6645,4730,1592,6748,9306,17894,5177,3347,8308,1678,5295,4736,838,7321,1909,27259,8726,1091,11714,8566,8677,24663,2054,4747,1421,6669,26637,2831,969,5515,9352,4790,6609,955,412343
"01/31/2010",5270,1798,9197,3767,58145,6907,2912,761,1748,18587,7575,1442,1452,19523,12417,6679,5631,6698,4762,1573,6702,9251,17770,5151,3392,8445,1677,5299,4702,846,7373,1913,27254,8702,1112,11649,8527,8699,25182,2081,4711,1434,6630,27012,2843,973,5484,9416,4827,6595,949,413445
"02/28/2010",5270,1789,9311,3785,57760,7044,2984,763,1729,18660,7495,1444,1434,19506,12456,6682,5683,6745,4762,1564,6620,9205,17633,5153,3475,8528,1700,5357,4712,846,7464,1929,27286,8743,1112,11648,8414,8716,25474,2112,4736,1450,6647,27282,2842,972,5485,9461,4852,6639,939,414298
"03/31/2010",5304,1760,9375,3846,57480,7117,3094,754,1735,18536,7536,1404,1486,19544,12555,6741,5721,6864,4726,1572,6544,9166,17507,5183,3521,8640,1703,5429,4738,843,7442,1909,27355,8803,1119,11851,8385,8811,26028,2109,4750,1472,6693,27524,2900,997,5517,9506,4937,6696,919,416147
"04/30/2010",5289,1755,9460,3873,57246,7145,3173,735,1740,18589,7508,1387,1475,19413,12620,6809,5762,6994,4667,1570,6466,9210,17507,5306,3592,8807,1718,5428,4720,840,7336,1897,27444,8841,1122,11996,8354,8940,26430,2118,4711,1477,6834,27828,2966,1002,5522,9572,4995,6712,905,417806
"05/31/2010",5316,1780,9478,3875,57261,7048,3288,758,1752,18922,7401,1368,1491,19254,12652,6797,5839,7055,4644,1566,6397,9268,17474,5302,3614,8849,1728,5430,4763,833,7313,1894,27495,8847,1114,12021,8308,8989,26907,2159,4668,1476,6886,28165,2970,997,5578,9672,5037,6691,907,419297
"06/30/2010",5344,1769,9432,3883,56562,7002,3387,765,1738,18837,7322,1323,1497,19021,12632,6775,5822,6920,4598,1563,6299,9138,17417,5207,3611,8898,1727,5395,4773,792,7257,1875,27112,8854,1096,12034,8059,8981,27068,2137,4579,1464,6878,28426,2934,973,5522,9617,5005,6621,900,416841
"07/31/2010",5337,1773,9502,3783,56209,6897,3518,757,1724,18846,7177,1261,1488,18843,12591,6799,5836,6831,4456,1557,6194,9106,17397,5220,3632,8930,1732,5422,4750,777,7168,1877,26794,8740,1070,12080,8063,9047,27405,2114,4509,1442,6847,28793,2959,960,5443,9586,4961,6650,912,415765
