"","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District of Columbia","Florida","Georgia","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming","Statewide"
"2009|10",104732,35674,227160,81814,1338275,138540,45750,17262,42668,445330,158310,36273,36098,352136,279970,123636,112448,154985,96007,38951,134651,198960,342041,125574,71771,139296,37571,104244,103399,21849,200658,42378,631628,132195,24975,290976,199436,197882,530974,52879,113006,31551,121813,511779,53925,22914,98112,235042,100794,166775,21419,8926486
"2009|11",107909,37261,225406,83604,1323014,148251,48380,17413,42900,436433,161615,35321,35437,355269,284493,130533,114842,157333,97693,39412,130668,202211,356080,123893,72311,145592,38367,105676,104691,21083,196619,42539,635192,137745,24972,290018,200025,199418,530475,52482,111394,31826,124380,536758,56301,22718,95023,232524,101465,166488,21849,8993302
"2009|12",119903,41088,236947,89970,1388863,161535,54896,18565,44591,454117,171905,37038,38112,386764,307523,142959,124590,168972,105816,41355,135349,215818,393932,129825,78315,164814,40498,114875,114041,22084,202079,45983,680046,153740,26627,306237,212429,214876,566896,55246,117104,34534,137886,592179,62773,23504,97168,244188,110074,176895,23822,9629346
"2010|01",129892,43617,246398,95069,1426188,170360,60300,19419,45840,466047,179412,38856,39471,407288,320666,153995,136282,176795,114356,43063,137935,228287,419736,134950,84634,184062,42834,124916,120577,23208,206115,48878,718154,169699,28075,315586,220435,224683,591817,57489,121496,37110,151296,640620,68614,24425,96708,251916,116550,180761,25156,10110036
"2010|02",127398,42071,236423,92056,1334346,165451,60660,19075,43199,438896,170641,36670,37065,391063,301782,152137,135125,169274,112521,40490,126441,220280,406562,127359,82552,188519,41285,124191,115640,21678,193039,47341,685787,176338,26712,297671,207715,214915,561078,54591,115404,35818,150688,635426,66544,23354,88065,238836,110539,170703,23531,9684945
"2010|03",153543,51941,279094,111626,1544742,202911,75316,22531,50399,509498,203804,42191,43717,460854,350985,185728,166009,201277,136337,47270,141699,266204,481090,151823,99995,234540,49218,153077,138961,24654,224006,56610,804781,245644,31768,351745,244342,255661,652187,63373,139315,43613,188099,774864,80579,28196,99028,281508,129450,199500,27411,11502714
"2010|04",153534,52325,278176,111878,1526574,204341,78851,22066,50343,506950,204981,41403,43615,458703,348661,187073,167629,202097,136689,46525,137732,268200,478877,151834,100745,239095,48954,155608,138917,23987,217658,56263,796928,251359,31741,350871,242992,256929,650049,62216,139233,44174,192233,784630,83131,28861,98184,279893,129914,197549,26704,11487875
"2010|05",157095,53657,285219,113185,1562601,207045,83646,22432,51793,528203,206892,42036,44788,471018,358127,190379,171753,209054,137196,47592,141499,272259,488810,156092,103413,243549,50173,158055,140775,24443,221496,57143,817293,254345,32594,361251,246310,262819,678628,64275,140961,44746,194663,809055,84474,29254,103322,287701,133001,201621,26982,11774713
"2010|06",151205,51474,272451,108311,1500710,196266,83315,21756,49854,521411,194694,38924,43044,453389,345393,179875,165193,200784,130149,45398,137252,258557,469620,148475,99002,233177,48340,150524,135670,23090,211298,54682,784352,242956,30695,346971,232222,252779,665806,62339,132731,42627,185148,783213,79890,27751,103311,275285,127273,191560,25960,11316152
"2010|07",156905,52626,281965,110971,1543475,200552,90090,22443,50909,544824,198288,38648,45018,469716,356131,186382,170962,204116,131842,46818,142841,262958,483523,152849,103368,243633,49939,154883,139666,22721,215373,56184,798850,247714,30916,358738,235128,262547,700943,63255,134833,43359,190273,817514,82565,27939,109836,282909,130747,197668,26690,11673043
"2010|08",159113,53354,285431,110799,1550224,199458,95269,22412,50761,556746,197112,37416,44001,475388,359099,189303,175280,204061,130987,47291,144799,266320,487598,153367,105119,249876,51004,156917,140917,22444,214525,56980,798377,246966,30585,363802,237635,266132,723066,63455,133205,43477,193701,835493,84788,27621,110268,285147,131939,198023,26476,11793527
"2010|09",156537,52025,284797,109861,1523503,195828,98385,21960,49617,553654,192937,36584,42909,468451,352771,188697,175198,201300,128835,45729,142819,263359,474494,150214,104311,250559,50461,155895,140801,21663,208547,55626,773888,245823,29970,357264,232280,263404,723776,61128,131289,43440,194554,836087,84647,26506,108121,282599,131521,192706,26025,11643355
