"","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District of Columbia","Florida","Georgia","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming","Statewide"
"2009|10",33676,22619,95077,38723,624077,27002,8399,4317,18066,270562,45007,19086,17748,161084,108390,62179,67054,45774,45450,21984,74421,82293,174593,50522,26194,60411,15148,46793,63261,4782,82535,25199,284316,64759,11028,89963,127803,103007,179583,15022,36036,12218,49631,215491,21105,7708,42837,119006,36169,64393,6961,3929462
"2009|11",33482,22727,92329,39413,597547,26826,8841,4068,17743,257037,44728,18262,16773,162680,109281,64576,65346,44974,43509,21432,71224,80645,178977,47905,26035,61963,15338,46562,62108,4490,79447,23584,279481,65447,10630,85884,125051,101863,175319,14672,34371,11797,46890,220347,20920,7308,41021,116328,35415,63263,6711,3852570
"2009|12",36758,24527,94911,41552,605364,28123,10072,4047,17990,258450,46218,18895,17714,177910,120795,68821,67571,45927,44787,21612,72582,84335,195839,47313,28299,70174,16248,49066,66649,4756,79578,24375,292457,70536,10787,86287,128686,107194,183134,14875,34883,12277,47967,234066,21591,7041,41223,120576,36837,65836,7224,4014735
"2010|01",39166,25438,96361,42613,601325,29018,10968,4049,17689,257424,46764,19644,17868,187841,127723,72494,71688,46463,45256,22074,73641,86345,205082,48287,30868,79027,17424,52350,68471,4827,79743,25378,301153,74520,10815,85596,130510,109255,188978,15785,34520,12801,49975,246676,22909,7200,40769,123112,37389,65729,7538,4118539
"2010|02",37107,23693,89863,38654,539268,28161,11039,4000,16003,233664,42343,18431,15790,181019,117919,69793,67237,41271,42805,20199,67017,79147,194877,45391,29752,80087,16138,49760,63634,4376,73163,23360,279272,71544,9552,78231,118369,100852,176258,14567,30365,12006,45110,235108,20640,6558,36506,113295,33876,60148,6684,3813902
"2010|03",42984,28295,103554,43095,590961,34690,13539,4586,18013,258552,48390,20561,17163,213223,136012,82554,78129,46055,49123,22773,74599,90027,225715,52900,35873,97913,18756,57691,74222,4750,81835,26052,315337,85337,11107,89144,132842,116205,200387,15964,33578,14262,50604,274632,23119,7416,40032,130471,37764,67279,7229,4345294
"2010|04",40882,27915,101531,41608,565802,34222,13729,4385,18075,249636,47291,20161,16621,211150,133903,81083,75782,44830,47686,21717,71015,89426,221677,52711,36233,97437,18232,57108,72830,4704,79524,24608,306444,84217,10772,86644,127554,117091,196710,15536,32184,14987,46930,272876,23715,7531,39201,128807,36093,66052,6847,4243705
"2010|05",41168,28987,103993,42887,574082,34242,14342,4402,18623,258684,46533,20728,16812,217431,138755,82446,77878,46548,48059,21847,71500,91917,225531,54751,38271,98648,18773,57857,73239,4727,80986,24854,311515,84227,11436,88480,129274,121193,203597,16308,32368,15499,46191,284199,25278,7549,40673,132556,36501,67585,6974,4340904
"2010|06",40130,28574,100690,41280,548929,33355,15127,4445,17800,255575,43045,19439,16423,211739,136802,79284,77013,45680,47348,20771,68858,88428,219470,53197,38039,96053,18769,55476,71389,4479,77459,24354,296087,82470,10945,84884,122459,118047,201150,15829,30699,15191,46777,282640,25128,7323,39489,127204,35489,65129,7050,4213410
"2010|07",41566,29158,105173,43144,560875,35193,16941,4960,18284,266802,43436,19295,17357,220764,143753,83025,80769,46695,47986,22107,70676,92084,227705,56638,40988,102335,19662,57443,74042,4224,79430,25266,301016,85668,10772,87449,122403,125980,211556,16357,31676,15462,50614,299971,26944,7438,40426,131732,36328,68273,7710,4375551
"2010|08",42410,29629,105957,43905,556807,35424,18525,5268,18159,271572,42156,18347,17191,223941,147028,86185,85598,46794,48070,22531,70590,94191,231808,56787,42121,108599,20601,60356,75411,4074,79054,24483,299200,86683,10814,89174,123494,129945,216219,16777,31197,15247,53573,311149,28303,7552,38804,133480,36364,69422,8266,4439235
"2010|09",40253,28146,105095,42636,533541,34369,19718,5268,17598,269115,39390,17749,16596,221635,143171,84905,85158,46240,47404,21758,69413,92846,225812,54027,41358,109368,21091,61234,75116,3987,76494,22974,290278,85326,9979,86370,117502,131267,215564,16317,29692,14951,51954,314807,28764,7327,36030,132451,35503,67489,8263,4353299
"2010|10",40483,28828,110844,45331,549393,34638,22478,4869,17979,280441,39681,17865,16936,229629,148758,88314,85970,46501,48722,22000,71367,94984,228792,55282,42678,113722,21972,63228,77724,4214,78848,23443,297270,87155,9215,87408,119672,136977,217116,17089,29970,15327,50793,331417,29952,7425,36230,137355,37016,69285,8581,4481167
"2010|11",38024,27609,106017,43669,531197,31577,23952,4657,17269,268954,38981,17130,15726,219878,142733,83384,79221,41768,45216,20385,68937,92043,216958,52091,39259,108451,20679,60490,73081,4200,74062,22466,283324,81362,7961,83749,114843,132658,194635,16155,27009,14323,45850,317589,28803,7151,33302,130918,36272,66846,8057,4260871
"2010|12",38948,28381,108263,45130,545701,30789,26975,4466,17674,271287,40475,17392,15677,225600,148992,81970,78573,39992,45344,20336,71338,94278,218704,51444,39051,108970,21112,61793,74103,4326,74430,22507,285029,81891,8033,85115,117256,137245,186180,16643,25946,14116,46773,316472,29022,7560,32602,132644,36974,68590,8157,4310269
"2011|01",39101,28586,110340,45919,546725,30717,29488,4297,17636,270092,40377,17014,14481,227169,150196,80608,78931,37537,45419,20094,72206,93705,218452,51078,39044,110045,20654,62101,73234,4359,75241,22339,281571,82545,8393,86001,116341,135515,169918,16452,25250,13745,47927,319026,28030,7266,31905,131537,37157,68986,8035,4292785
"2011|02",35996,26561,101544,42320,495703,27479,28678,3938,15965,244565,36027,15239,13175,207960,133081,71748,70012,33071,42558,17925,66727,83421,197654,48026,35599,101703,18961,56200,66608,3851,68111,20212,253029,75215,7343,77664,104434,121485,140095,14782,22393,12627,44541,289897,25006,6350,28135,119131,34742,62352,7198,3877037
"2011|03",40425,30373,113726,47975,552084,30166,34358,4663,17411,275073,40554,17022,14364,234727,147567,79346,76559,36207,49070,19128,75721,93162,218048,54972,41071,117229,21415,61687,74372,4331,75312,22395,278469,84659,7896,86841,117094,133356,140200,16060,24880,14031,52829,325055,27563,7173,30581,133325,40792,69181,8171,4318669
"2011|04",38787,29657,108679,46413,537292,29174,35269,4579,16674,271496,39341,16592,13760,228705,141465,76230,73935,34372,47563,17628,73987,90759,209313,52725,39142,114758,20693,60566,71773,4263,71557,21251,266106,80965,7863,84276,113763,129385,126183,15344,24164,13601,52246,317434,25759,6941,29738,128174,39866,68221,7787,4176214
"2011|05",39137,30225,111924,47893,559942,29858,36615,4701,17141,282386,39695,16609,13728,233216,143648,77066,76265,34675,48211,18140,74360,92601,214957,52831,40006,116304,21178,63014,72255,4398,72546,21268,272227,80224,7804,86484,116645,134867,127325,15530,23923,14243,52587,327558,25516,7112,30504,131092,41215,70775,8089,4280513
