"","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District of Columbia","Florida","Georgia","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming","Statewide"
"2009|10",70421,12993,131809,42887,708881,109341,37150,12914,22740,173679,113303,17187,18350,183649,169938,59630,44455,107394,50370,16673,59241,116358,150059,74990,45153,77647,22252,56172,39277,17067,116575,16332,347516,67414,13823,199004,71447,90730,343302,35846,76903,18419,72159,295545,31289,14884,53936,115853,64384,102043,14381,4923765
"2009|11",73804,14498,132799,43981,720199,119178,39363,13315,23449,178400,116887,17059,18664,184791,173591,64208,48540,110641,54035,17709,58482,121331,160306,75923,45878,82371,22858,58018,41805,16593,115630,18127,355951,72244,14222,202183,74794,93474,347288,35729,76949,19098,77458,315621,33819,15161,52828,115997,65840,102817,15078,5068984
"2009|12",82485,16501,141745,48201,778081,131086,44673,14487,24805,194620,125687,18143,20398,200365,185066,72299,56051,121239,60900,19490,61748,131326,180280,82419,49613,93394,24102,64718,46549,17328,120857,20687,387817,83148,15670,217902,83528,103395,375624,38138,82161,21287,89857,357339,39631,16233,54812,123385,73036,110670,16542,5539518
"2010|01",90020,18112,149782,52255,819171,139143,49177,15339,26225,207552,132648,19212,21603,210584,191352,79683,63493,128397,68924,20737,63260,141778,196005,86521,53323,103694,25286,71383,51247,18381,124718,22592,417220,95131,17067,227929,89677,111222,394474,39447,86914,23341,101275,393078,44022,16974,54840,128580,78941,114665,17608,5914002
"2010|02",89670,18288,146361,53228,789588,135162,49481,15047,25457,204206,128298,18239,21275,201392,182411,80715,66740,126188,69446,20072,58495,140870,194447,81811,52380,107057,25012,73286,51088,17302,118375,23139,406718,104725,16955,217468,89122,110315,376905,37927,84982,22983,105542,399528,44494,16572,50665,125329,76497,110182,16836,5798271
"2010|03",109908,23465,175345,68301,947443,165636,61630,17914,30513,249900,155414,21630,26554,237094,213528,101345,86461,153267,86785,24247,66135,175799,236123,98730,63658,134904,30353,94093,63765,19904,140472,29551,489702,160125,20338,260375,111223,135359,442869,45111,105617,28452,137481,499425,55921,20450,58119,150834,91483,131839,20150,7074740
"2010|04",111945,24200,176404,70084,954640,167739,64978,17660,30533,256411,157690,21242,27001,236986,213401,104174,90406,155256,88491,24592,65775,178431,238650,98954,64065,140055,30662,97210,65233,19297,136535,30719,490819,166935,20608,262168,115247,135885,444239,44338,106894,28351,145316,510996,57935,20958,58162,150932,93579,131196,19797,7163774
"2010|05",115324,24403,180952,70086,982511,170356,69112,18045,31445,268682,160338,21308,28035,243171,218061,106119,92349,160305,88496,25555,69109,179975,244433,101063,64662,143336,31316,98997,66768,19721,138784,31370,506252,169918,20807,270685,116893,137891,465599,45574,108469,28420,148500,524354,57795,21316,61676,154984,96231,133708,19969,7353228
"2010|06",110537,22687,171527,66773,946731,160344,67977,17336,30472,264945,151557,19485,26692,232369,207274,99209,86638,152898,82058,24438,67565,169813,231879,95041,60421,135569,29511,93964,63584,18644,132034,29459,488646,160255,19499,260240,109604,131364,455531,44284,101939,26674,138369,500291,53484,20074,62692,147984,91454,126099,18880,7026794
"2010|07",114607,23270,176602,67549,977410,162496,72886,17514,31176,277338,154739,19353,27696,239643,211096,102119,88614,154870,83121,24517,71134,170655,236683,96012,61845,139463,30246,96346,65045,18589,133950,30038,498150,161894,19937,269466,112510,133303,479329,44350,103064,27051,139596,517280,54240,20273,68202,151061,94126,129080,18949,7218483
"2010|08",115914,23551,179237,66553,987814,161060,76407,17190,31462,284519,154854,19069,26824,242451,210747,102064,88214,154685,82162,24579,73059,171871,236361,96359,62351,139362,30367,95262,64868,18480,133632,31609,499452,160109,19644,272767,113920,133078,496396,44126,101891,27433,140109,523995,54904,19812,70159,151450,95266,128275,18194,7273917
"2010|09",115473,23692,179365,66935,984428,158325,78259,16708,31160,283865,153515,18835,26320,238819,208381,102631,88898,152653,80798,23721,72271,170168,228939,95792,62235,139371,29332,93159,65045,17698,130267,31863,483784,160167,19927,269070,114588,129068,497973,42294,101462,27722,142674,520920,54207,18923,70882,149900,95612,124815,17762,7210671
"2010|10",121280,24845,186808,70085,1029519,164228,82909,17868,32773,296942,160567,19591,27336,248746,215565,108000,94179,159436,84819,24611,76392,177369,233382,99723,64789,146895,30760,97664,67267,18295,132290,33482,497881,166681,21702,280265,122178,133455,502661,43105,106635,28853,151407,540057,56384,20020,75564,154897,99684,130060,18592,7498496
"2010|11",116245,23173,177215,65422,980358,154669,80821,17438,31096,278176,152500,19002,25398,239784,205498,101837,90589,153366,80404,23518,75676,166779,220458,94800,61640,139622,29347,91471,63968,17364,124327,31692,476512,158129,21034,269103,116744,127085,452272,40964,100465,27894,143950,506299,53817,19178,75739,145234,94403,124913,18280,7105668
"2010|12",118130,22926,178116,64997,996961,154895,84794,18106,31367,278207,153712,19080,25300,246284,206263,102738,91328,157772,81977,23877,80265,167989,221970,96591,62310,141653,29729,91310,66236,17386,124546,31605,486704,159414,21344,275076,119078,128946,432912,41752,101082,28615,145515,510943,54143,19585,80755,145187,96376,128097,18613,7182557
