"","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District of Columbia","Florida","Georgia","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming","Statewide"
"2009|10",31052,3496,52394,23998,154219,48501,11604,4086,93,73190,43839,1952,12746,63048,95056,39836,29397,79109,22101,13954,10590,51534,58248,35433,17089,49458,10374,29360,17103,13235,24320,3937,84347,30272,6944,100791,24092,54574,135227,17713,31914,5220,42176,82709,18963,14177,25264,60790,53761,46583,10771,1970640
"2009|11",32811,3966,52635,24817,157245,52427,12289,4211,93,75629,45601,2100,12925,64013,96584,42401,32287,81800,23689,14801,10473,53733,62964,36071,17623,52858,10855,30102,17962,12706,24041,4632,86112,32245,7218,102820,25477,56150,135903,17263,32002,5696,45531,89568,20813,14488,24729,60718,55026,46673,11339,2036115
"2009|12",36734,4418,55736,27259,172213,57363,14025,4575,96,82900,49768,2350,14143,69816,101706,46948,36953,89634,26428,16228,11074,58008,71744,38814,19036,60670,11527,33201,19861,13349,24906,5117,93218,37460,7986,110731,28512,62323,145690,18126,34011,6607,53023,102003,24571,15556,25472,64428,60961,49530,12493,2229301
"2010|01",40441,4641,58743,30165,182520,60806,15321,4966,93,88881,53368,2641,15308,73814,105247,51411,41458,94705,29802,17047,11311,62052,79275,40513,20500,67610,11897,36742,21754,13973,25972,5516,99271,42748,8830,115626,30622,66956,151546,18849,37195,7029,59870,112717,26885,16235,25324,66789,66012,51060,13558,2385615
"2010|02",40747,4597,57176,30797,176013,59409,15342,4841,84,87889,52416,2393,15253,71052,101033,51841,43440,93159,30227,16422,10424,61371,79522,37682,20619,69814,11826,37955,21742,13213,24723,5895,95543,47696,8636,110264,31156,66185,143733,18249,36417,6973,62403,115482,27019,15805,23535,65083,64083,48873,12990,2349042
"2010|03",50435,6027,68227,39987,211149,72825,18963,5591,93,106229,63363,2741,19284,83939,119409,65107,56727,112989,38106,19723,12248,76031,96976,44619,25487,88767,14252,48989,26910,15012,29276,7604,112596,72129,10412,131868,39737,80720,169597,21483,45706,8768,82353,145132,34129,19537,26448,78128,76395,58366,15489,2876078
"2010|04",51684,6601,68647,40911,213742,73962,19944,5499,90,108851,63805,2859,19953,84269,120227,66856,59273,114420,38934,19839,12515,77010,97680,44984,26415,92162,14514,50552,27416,14504,28516,8233,112206,75427,10585,132431,41416,80926,170751,20921,46549,8839,87945,148800,35256,20032,26446,77883,77928,58181,15077,2922466
"2010|05",53508,6681,70387,40427,220989,74931,21343,5521,98,113942,64636,2834,20750,86829,123171,68306,60448,118871,39005,20469,13516,77887,99895,46552,26647,94368,14719,51339,28102,14841,29273,8388,116036,76637,10633,137340,41586,82326,179618,21563,47292,9147,90393,152407,35051,20353,28253,80431,79917,59409,15205,3002270
"2010|06",51489,6267,66420,38219,211883,70710,20926,5276,119,112020,61178,2598,19883,83225,117142,63747,56496,113231,36571,19420,13134,73162,94215,44682,24743,89234,13642,48781,27172,14110,28100,7780,112229,71773,10057,132469,38822,78151,175132,21031,44163,8518,84505,144786,32510,19220,28813,77300,75672,55444,14278,2860448
"2010|07",53666,6556,68368,38565,217360,72264,22510,5253,93,118210,62635,2503,20755,86397,120249,65292,57615,114578,37060,19314,13526,73306,96389,45414,25277,92120,13927,49794,28166,14015,28654,7698,113219,72045,10264,137752,40197,78696,183523,21138,44770,8367,85430,149249,32810,19442,31742,78776,77612,56443,14238,2933242
"2010|08",55533,6751,69876,37833,220474,72054,23493,5047,94,121431,62740,2532,19995,87160,120968,64636,57585,114125,36890,19313,13962,74083,96892,45621,25357,91927,14217,48915,28297,13933,28377,8440,113527,70530,10093,139040,40745,78498,189112,20950,44607,8521,86139,151255,32929,18981,33068,78158,78438,56090,13506,2952738
"2010|09",56562,6730,69846,37909,221716,70868,24194,4893,90,122022,63216,2386,19693,86602,119627,65718,57727,112473,36092,18602,14026,73403,94635,44601,25416,91794,13808,47763,28470,13245,27219,8582,108922,71195,10235,138191,41685,76418,188183,20133,44254,8306,88507,151307,32481,18044,33531,77724,78920,55001,13168,2936133
"2010|10",60301,7094,73034,40239,232872,72889,25987,5390,93,127703,67000,2534,20286,90574,122976,69554,60908,117566,37942,19013,14985,76832,96844,46481,26179,96930,14482,50032,29505,13675,27757,9082,113410,74281,11053,144084,44929,79068,188616,20355,46110,8643,93530,157201,33665,19097,35696,80520,82663,57297,14022,3060979
"2010|11",58045,6722,69704,37990,222083,68664,25688,5320,90,119854,63012,2379,18837,87134,116806,65414,58290,113514,36016,17936,15140,71991,92004,43882,24711,92489,13701,46985,28127,12866,26027,8736,108818,70550,10668,137815,42681,74713,170327,19435,42857,8354,88133,145901,32344,18272,36246,75166,78520,54810,13920,2899687
"2010|12",58955,6644,70048,37824,225781,68856,27057,5723,93,119593,63548,2452,18668,89380,116715,65966,58920,116942,36838,18049,16404,72625,92959,43768,24613,93838,13758,46676,28954,12811,26292,8624,110942,71210,10859,140268,43580,75930,164548,19783,43718,8753,88036,146071,32491,18627,38658,74825,80180,55819,14185,2927857
"2011|01",58357,6591,69259,37094,224442,68306,27766,5763,103,118796,62963,2354,19046,89131,113788,64907,57927,117056,36764,17582,16869,71664,92011,43116,24979,92763,13814,45517,28878,12598,26050,8459,110205,69879,10621,139416,43444,75054,154906,19776,43213,8702,87651,145031,32057,18735,40027,73884,80196,55298,13892,2896700
"2011|02",53762,6228,64039,33756,204810,62485,25884,5414,113,107929,58764,2167,17950,80914,103931,59375,53229,108205,34109,15977,15743,66062,83098,39177,22907,84887,12679,41936,26432,11721,24125,7803,100550,63783,9841,127352,40378,67606,132055,17818,39913,8059,81543,133364,29769,17508,37753,68337,74769,49604,12791,2648404
"2011|03",61209,7106,72436,40751,233326,70868,29725,6442,108,124469,69508,2367,20315,91269,116369,68595,60911,121153,39316,17756,18258,76581,93008,44867,26138,97965,14478,48566,30101,12982,27134,8756,113253,74609,11312,144898,46826,75576,139635,19929,46330,9027,95185,151951,33476,19756,43759,77879,85489,56059,14865,3012647
"2011|04",60101,6784,71208,40538,227339,67986,28946,6563,90,123140,69756,2295,19713,89339,111351,67184,59993,118348,39575,16835,18922,75054,89701,43677,25889,97009,13530,47489,29288,12265,25633,8993,110360,72923,11009,139937,46219,72477,130322,19080,44657,8925,94364,148131,32935,19543,45067,75955,85093,54456,14946,2940933
"2011|05",61913,6716,73241,40367,231224,69036,29472,6701,94,124960,72157,2286,19800,91485,112068,68546,61334,122714,40417,16952,20250,75290,91006,44936,26051,98633,13176,47634,30072,12508,26154,9533,113593,74160,11290,144153,46436,72971,132487,19473,44703,8579,94868,150424,33519,19885,49138,77870,88928,55989,15100,3000292
"2011|06",58317,6197,70161,37584,218586,64686,28102,6518,90,118918,69216,2116,18755,87453,104189,64177,57464,117784,39152,16080,19428,70642,86319,41744,24476,92762,11977,44415,28551,11486,25044,9238,108535,69491,10780,136799,44492,68660,124563,18865,42093,7929,88043,141345,31871,18897,49898,73919,85982,53102,14084,2840975
"2011|07",58947,6391,72941,37720,222209,66072,28154,6633,93,123372,72249,2139,19238,89728,104403,65341,58356,120407,40130,16037,19643,70131,87524,42201,25038,95376,12210,45162,29402,11218,26435,9534,108895,69622,11175,138732,45752,69194,126260,18688,43343,7960,89984,144707,32444,19413,54475,74668,88154,54162,14316,2896378
"2011|08",59139,6232,74240,37905,221266,66315,27635,6796,93,126437,74246,2102,19580,89301,101380,65134,58953,121091,39650,16026,19040,69538,87494,41662,25141,96400,12444,44365,29396,11360,27175,9689,107452,69923,11194,138542,47007,67732,127199,18358,43108,7642,90892,146149,32430,19696,57507,75731,88821,54431,13907,2904946
"2011|09",58621,6147,75139,37799,217347,64634,26726,6802,80,128500,74835,2146,19287,87080,97842,64207,58935,120204,39157,15369,18104,68403,86801,40203,25339,96320,12118,44551,29101,10969,26848,9886,103881,71706,11091,136181,48850,64809,123166,17598,41554,7184,91316,145565,31736,19712,56833,75175,89246,52858,13619,2871580
"2011|10",60747,6286,79056,39138,225588,65839,27629,7131,62,135189,78309,2285,19711,90545,99097,66622,61750,125231,40614,15818,18742,71326,91319,41834,26531,99961,12632,46992,29953,11719,27746,10400,106535,75545,12359,142115,51277,66821,127324,18137,42333,7625,96874,150914,33596,20914,58844,78718,93247,54707,13912,2987599
"2011|11",57609,5772,74969,36488,211593,60952,26783,6669,60,128103,74394,2215,18415,86923,92375,61939,58888,120636,37798,15036,17770,66586,86761,39995,24915,94671,12101,45338,28007,11137,26208,10077,102258,71572,12067,135706,49114,63405,121399,16937,39393,7248,90881,141332,31515,19901,56594,74433,87059,52378,13262,2827637
"2011|12",57788,5698,74795,36395,213066,60374,27355,6605,74,130133,73817,2285,18830,89001,89433,62274,59123,124116,38193,15263,17860,67016,87757,40071,24803,94827,12280,46552,28123,11162,26676,10502,104825,72002,12312,139259,50464,64594,122788,17057,38589,7108,91706,142206,31605,20000,57180,74049,86844,53207,13508,2851550
"2012|01",56723,5574,73671,36198,210717,60550,27168,6479,63,129659,73442,2126,18544,88391,82901,61352,57422,124526,38372,14867,17615,66012,86921,38734,24518,93539,12375,46515,27435,11110,27216,10285,104748,70630,12579,138680,50243,64686,121338,16642,37469,7149,91284,141442,31615,19295,56064,72052,84975,52328,13142,2817381
"2012|02",52896,5315,72126,35013,199529,57230,25648,6300,58,125129,70327,2098,17620,83186,78521,58066,55236,119691,36607,13897,16518,62780,82183,37143,23782,89996,11764,45295,25812,10533,26899,9467,99678,67157,12285,130904,48571,61209,116727,15643,35569,6983,88943,136842,29882,18350,52672,68651,79553,49109,12856,2688249
"2012|03",57154,5703,80279,39469,220047,62908,27741,6913,62,137924,76324,2159,19669,91181,87147,64473,61789,132106,39499,15170,17764,69671,89115,41115,26754,99761,13158,50700,28657,11740,30238,10468,107642,76334,13559,143548,54371,68560,128818,16980,38520,7903,100014,152758,32942,20423,57165,75800,83199,53627,14176,2963197
"2012|04",55068,5384,78268,38193,214576,61248,27286,6630,60,135853,74590,2122,18770,88448,84039,63290,60688,131295,37889,14728,17054,68017,86431,40199,26326,98228,13101,49674,28353,11684,29569,9985,104467,74623,13487,140334,54373,67696,123954,16312,36770,7854,98615,150112,32384,20211,56109,74514,78678,51806,13528,2892873
"2012|05",54957,5526,80345,38403,215942,62102,27816,6548,62,137969,75669,2219,18922,90384,85034,63501,61670,137628,38335,14954,17423,68235,87494,41101,26554,100189,13573,49750,28761,11994,30427,10063,108082,75056,13614,144567,54964,68764,126154,16268,36985,7734,100166,152690,32741,20238,58735,77100,80311,52357,14073,2944149
