"","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District of Columbia","Florida","Georgia","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming","Statewide"
"2009|10",39369,9497,79415,18889,554662,60840,25546,8828,22647,100489,69464,15235,5604,120601,74882,19794,15058,28285,28269,2719,48651,64824,91811,39557,28064,28189,11878,26812,22174,3832,92255,12395,263169,37142,6879,98213,47355,36156,208075,18133,44989,13199,29983,212836,12326,707,28672,55063,10623,55460,3610,2953125
"2009|11",40993,10532,80164,19164,562954,66751,27074,9104,23356,102771,71286,14959,5739,120778,77007,21807,16253,28841,30346,2908,48009,67598,97342,39852,28255,29513,12003,27916,23843,3887,91589,13495,269839,39999,7004,99363,49317,37324,211385,18466,44947,13402,31927,226053,13006,673,28099,55279,10814,56144,3739,3032869
"2009|12",45751,12083,86009,20942,605868,73723,30648,9912,24709,111720,75919,15793,6255,130549,83360,25351,19098,31605,34472,3262,50674,73318,108536,43605,30577,32724,12575,31517,26688,3979,95951,15570,294599,45688,7684,107171,55016,41072,229934,20012,48150,14680,36834,255336,15060,677,29340,58957,12075,61140,4049,3310217
"2010|01",49579,13471,91039,22090,636651,78337,33856,10373,26132,118671,79280,16571,6295,136770,86105,28272,22035,33692,39122,3690,51949,79726,116730,46008,32823,36084,13389,34641,29493,4408,98746,17076,317949,52383,8237,112303,59055,44266,242928,20598,49719,16312,41405,280361,17137,739,29516,61791,12929,63605,4050,3528387
"2010|02",48923,13691,89185,22431,613575,75753,34139,10206,25373,116317,75882,15846,6022,130340,81378,28874,23300,33029,39219,3650,48071,79499,114925,44129,31761,37243,13186,35331,29346,4089,93652,17244,311175,57029,8319,107204,57966,44130,233172,19678,48565,16010,43139,284046,17475,767,27130,60246,12414,61309,3846,3449229
"2010|03",59473,17438,107118,28314,736294,92811,42667,12323,30420,143671,92051,18889,7270,153155,94119,36238,29734,40278,48679,4524,53887,99768,139147,54111,38171,46137,16101,45104,36855,4892,111196,21947,377106,87996,9926,128507,71486,54639,273272,23628,59911,19684,55128,354293,21792,913,31671,72706,15088,73473,4661,4198662
"2010|04",60261,17599,107757,29173,740898,93777,45034,12161,30443,147560,93885,18383,7048,152717,93174,37318,31133,40836,49557,4753,53260,101421,140970,53970,37650,47893,16148,46658,37817,4793,108019,22486,378613,91508,10023,129737,73831,54959,273488,23417,60345,19512,57371,362196,22679,926,31716,73049,15651,73015,4720,4241308
"2010|05",61816,17722,110565,29659,761522,95425,47769,12524,31347,154740,95702,18474,7285,156342,94890,37813,31901,41434,49491,5086,55593,102088,144538,54511,38015,48968,16597,47658,38666,4880,109511,22982,390216,93281,10174,133345,75307,55565,285981,24011,61177,19273,58107,371947,22744,963,33423,74553,16314,74299,4764,4350958
"2010|06",59048,16420,105107,28554,734848,89634,47051,12060,30353,152925,90379,16887,6809,149144,90132,35462,30142,39667,45487,5018,54431,96651,137664,50359,35678,46335,15869,45183,36412,4534,103934,21679,376417,88482,9442,127771,70782,53213,280399,23253,57776,18156,53864,355505,20974,854,33879,70684,15782,70655,4602,4166346
"2010|07",60941,16714,108234,28984,760050,90232,50376,12261,31083,159128,92104,16850,6941,153246,90847,36827,30999,40292,46061,5203,57608,97349,140294,50598,36568,47343,16319,46552,36879,4574,105296,22340,384931,89849,9673,131714,72313,54607,295806,23212,58294,18684,54166,368031,21430,831,36460,72285,16514,72637,4711,4285241
