"","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District of Columbia","Florida","Georgia","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming","National"
"2009|10",223,66,686,340,3068,441,87,32,55,1189,468,117,104,495,775,364,325,437,330,73,227,453,716,435,206,496,85,306,274,47,416,165,1177,403,61,698,388,416,1242,123,346,130,549,1425,171,40,221,466,268,394,83,22102
"2009|11",208,76,652,327,2825,465,72,34,54,1044,438,107,126,494,775,368,252,421,265,57,239,416,701,406,172,426,73,308,217,42,392,146,1025,338,64,685,318,378,1231,108,249,110,489,1340,166,41,218,436,279,333,82,20488
"2009|12",200,72,554,295,2492,445,97,31,45,943,411,101,127,416,691,355,245,373,250,35,186,421,593,438,176,377,65,205,216,34,374,107,902,294,62,605,273,294,1262,116,206,115,425,1185,173,42,204,417,256,314,68,18583
"2010|01",239,69,627,365,2721,440,122,36,79,1049,458,108,107,486,760,380,296,443,267,58,205,460,677,434,216,492,81,256,195,47,396,114,1067,332,68,651,333,410,1393,120,241,107,448,1253,173,37,206,512,290,339,76,20739
"2010|02",194,61,660,300,2539,513,85,28,51,1194,439,71,108,447,755,400,297,421,309,56,191,456,615,420,225,451,91,289,218,35,402,159,1007,384,63,669,276,385,1233,138,268,128,506,1243,155,46,228,515,248,408,78,20458
"2010|03",278,66,659,404,3002,579,130,17,69,1207,565,66,137,552,900,420,297,585,300,68,268,529,800,588,261,544,91,343,265,58,448,163,1228,427,73,930,381,447,1602,119,366,135,639,1338,216,61,279,591,322,444,55,24312
"2010|04",260,72,656,362,2817,517,93,24,61,1246,466,82,104,446,831,422,318,528,257,71,258,501,780,582,253,561,89,279,253,29,367,129,1076,422,68,886,412,466,1519,135,302,132,662,1361,244,53,245,577,315,391,76,23056
"2010|05",259,80,663,351,2956,443,137,61,60,1451,441,79,126,446,830,487,345,487,289,77,236,558,760,518,234,520,104,284,249,46,420,156,1131,428,63,888,370,434,1657,148,288,126,543,1405,193,59,285,631,293,389,82,23566
"2010|06",256,70,615,300,2751,452,111,49,68,1339,461,73,103,479,796,383,275,423,238,59,220,438,693,495,185,501,80,255,245,35,410,123,1050,434,60,875,324,411,1639,128,245,117,502,1382,194,50,214,583,247,412,83,21931
"2010|07",298,95,616,276,2838,480,154,37,62,1274,430,59,121,464,742,408,284,457,240,71,235,471,648,497,214,486,80,286,235,42,378,156,1051,369,53,863,394,460,1667,131,273,118,543,1454,192,51,225,512,257,421,92,22260
"2010|08",388,81,706,352,2999,515,170,34,77,1306,471,72,107,516,749,392,367,498,307,64,250,447,700,577,213,523,84,331,248,49,391,193,1074,436,69,901,427,400,1712,100,281,127,571,1395,202,38,209,555,335,406,92,23507
"2010|09",308,64,668,395,3085,470,157,34,56,1249,475,86,141,500,716,458,281,470,299,70,274,406,670,511,240,593,89,276,256,40,350,166,1016,367,67,787,469,407,1522,141,328,140,536,1378,202,52,220,574,291,401,68,22819
"2010|10",302,77,701,421,3046,449,176,46,53,1318,468,90,107,416,747,420,279,417,268,56,218,513,645,474,200,556,92,265,221,41,372,167,1077,418,82,838,421,415,1159,120,315,95,565,1344,203,47,245,531,270,414,98,22278
"2010|11",288,62,671,318,2576,384,147,39,43,1139,439,71,85,350,623,345,270,376,248,48,207,484,564,445,137,504,67,229,242,45,328,126,951,423,62,810,353,360,1026,117,278,104,543,1209,197,60,185,365,295,360,92,19690
"2010|12",206,77,568,251,2353,373,163,29,39,980,388,66,88,361,587,325,276,298,228,31,226,448,507,422,172,388,57,214,205,34,336,95,864,343,66,722,338,334,1015,78,221,114,491,1183,129,41,181,381,225,322,81,17920
"2011|01",250,105,638,301,2709,410,148,29,55,1249,443,90,121,320,622,365,267,390,317,45,199,420,594,518,160,432,89,274,258,37,327,119,919,367,49,764,341,348,1121,109,194,119,485,1337,173,59,195,460,309,295,85,20030
"2011|02",311,73,612,361,2643,409,140,52,52,1288,575,102,92,353,611,327,218,463,375,44,245,487,585,513,217,416,89,235,195,42,338,151,856,440,63,823,348,339,1092,96,258,145,568,1312,135,28,219,503,337,321,73,20570
"2011|03",297,66,661,410,3046,514,178,64,61,1599,712,91,125,393,694,411,281,477,468,26,245,482,736,552,223,580,94,306,237,35,394,192,997,424,84,869,425,321,1245,103,319,139,623,1421,152,63,234,537,345,403,77,23431
"2011|04",307,73,719,310,2869,476,190,41,55,1456,564,114,96,431,592,384,360,477,311,56,236,438,666,526,237,572,56,255,218,48,356,177,955,453,72,926,386,378,899,98,255,105,610,1509,161,72,248,462,310,409,84,22058
"2011|05",228,101,677,310,2884,476,168,49,43,1474,544,75,99,353,689,419,324,493,365,49,267,530,680,598,218,560,85,271,265,38,416,152,950,449,61,890,406,410,943,108,280,122,567,1533,175,58,225,508,319,408,80,22392
"2011|06",276,74,656,307,2500,439,192,64,27,1279,525,51,115,340,634,302,248,393,300,38,230,425,589,539,191,478,90,247,217,54,477,140,968,452,28,763,399,427,892,114,187,117,562,1367,185,65,212,450,290,405,83,20403
"2011|07",288,70,708,284,2740,478,176,46,35,1298,566,82,97,348,609,346,275,413,276,55,225,393,606,492,204,569,139,259,251,29,442,161,948,383,72,888,428,308,937,108,230,105,589,1275,162,48,221,501,247,407,49,20866
"2011|08",293,67,777,337,2708,495,153,36,46,1551,651,89,102,409,618,391,315,464,351,53,260,429,708,547,199,484,131,289,274,41,388,171,925,443,75,929,527,398,949,113,202,124,666,1416,202,57,281,468,277,423,76,22378
"2011|09",266,66,828,321,2794,421,188,46,51,1365,548,118,113,426,640,462,345,508,311,50,240,438,669,537,227,510,92,305,230,44,434,149,869,407,86,941,495,329,953,93,245,121,597,1338,200,76,244,532,304,398,75,22045
